position,content,type,speaker
321,Example?,dialog,Donkey
322,"Example? Okay, um, ogres are like onions. (he holds out his onion)",dialog,Shrek
323,(sniffs the onion) They stink?,dialog,Donkey
324,Yes - - No!,dialog,Shrek
325,They make you cry?,dialog,Donkey
326,No!,dialog,Shrek
327,"Oh, you leave them in the sun, they get all brown, start sproutin' little white hairs.",dialog,Donkey
328,No! Layers! Onions have layers. Ogres have layers! Onions have layers. You get it? We both have layers. (he throws away the onion and walks off),dialog,Shrek
329,"(trailing after Shrek) Oh, you both have layers. Oh. {sniffs} You know, not everybody likes onions. Cake! Everybody loves cakes! Cakes have layers.",dialog,Donkey
330,I don't care... what everyone likes. Ogres are not like cakes. (walks passed Donkey),dialog,Shrek
331,"You know what else everybody likes? Parfaits. Have you ever met a person, you say, ""Let's get some parfait,"" they say, ""Hell no, I don't like no parfaits""? Parfaits are delicious.",dialog,Donkey
332,"(Yelling) NO! You bad, irritating, miniature beast of burden! Ogres are like onions! End of story. Bye-bye. (whispers) See you later.",dialog,Shrek
333,Parfaits may be the most delicious thing on the whole damn planet.,dialog,Donkey
334,"You know, I think I preferred your humming.",dialog,Shrek
335,Do you have a tissue or something? I'm making a mess. Just the word parfait makes me start slobbering.,dialog,Donkey
336,"(They head off. There is a montage of their journey. Walking through a field at sunset. Sleeping beneath a bright moon. Shrek burns his foot trying to stomp out the campfire, so Donkey urinates on the fire to put it out. They arrive at the outskirts of a giant volcano and begin to make their way up)",action,
337,(sniffs) Whew! Shrek! Did you do that? You gotta warn somebody before you just crack one off. My mouth was open and everything.,dialog,Donkey
338,"Believe me, Donkey, if it was me, you'd be dead. (sniffs) It's brimstone. We must be getting close.",dialog,Shrek
339,"Yeah, right, brimstone. Don't be talking about it's the brimstone. I know what I smell. It wasn't no brimstone. It didn't come off no stone neither.",dialog,Donkey
340,(They reach the top of the climb and hoist themselves up and over the ridge),action,
341,DRAGON'S KEEP -  EXTERIOR,setting,
342,"(Shrek and Donkey gaze out into the crater. The Dragon's Keep towered before them, a dilapidated castle, burned and blackened. Perched on a rock pinnacle, it was surrounded by a terrifying lake of molten lava. A single light shines in the window of the tallest tower. Dark clouds block out the blue sky above them. Thunder strikes and crows circling the castle can be heard. It's all very ominous)",action,
343,"Sure, it's big enough, but look at the location. (laughs)",dialog,Shrek
344,"(Shrek jumps over and approaches the bridge, with Donkey joining in behind him)",action,
345,"(chuckes along nervously) Uh, Shrek? Uh, remember when you said that ogres have layers?",dialog,Donkey
346,"Oh, aye.",dialog,Shrek
347,"Well, I have a bit of a confession to make (gasps, seeing the skeleton of a horse). Donkeys don't have layers. We wear our fear right out there on our sleeves.",dialog,Donkey
348,Wait a second. Donkeys don't have sleeves.,dialog,Shrek
349,You know what I mean.,dialog,Donkey
350,"Oh, you can't tell me you're afraid of heights.",dialog,Shrek
351,"No, I'm just a little uncomfortable about being on a rickety bridge over a boiling lake of lava!",dialog,Donkey
352,"Come on, Donkey. I'm right here beside ya, okay? For emotional support. We'll just tackle this thing together one little baby step at a time.",dialog,Shrek
353,Really?,dialog,Donkey
354,"Really, really.",dialog,Shrek
355,"Okay, that makes me feel so much better.",dialog,Donkey
356,Just keep moving. And don't look down.,dialog,Shrek
357,"(nervously to himself) Okay, don't look down. Don't look down. Don't look down. Keep on moving. Don't look down.",dialog,Donkey
358,"(Donkey accidentally steps through a rotting board, which falls down into the fiery lava below)",action,
359,"Shrek! I'm lookin' down! (screams) Oh, God, I can't do this! Just let me off, please!",dialog,Donkey
360,But you're already halfway.,dialog,Shrek
361,But I know that half is safe!,dialog,Donkey
362,"Okay, fine. I don't have time for this. You go back.",dialog,Shrek
363,(Shrek tries to press on while Donkey tries to make his way back under Shrek),action,
364,"Shrek, no! Wait!",dialog,Donkey
365,"Just, Donkey - - Let's have a dance then, shall we? (bounces and sways the bridge)",dialog,Shrek
366,Don't do that!,dialog,Donkey
367,"Oh, I'm sorry. Do what? Oh, this? (bounces the bridge again)",dialog,Shrek
368,"Yes, that!",dialog,Donkey
369,"Yes? Yes, do it. Okay. (continues to bounce and sway as he backs Donkey across the bridge)",dialog,Shrek
370,"No, Shrek! No! Stop it!",dialog,Donkey
371,You said do it! I'm doing it.,dialog,Shrek
372,"I'm gonna die. I'm gonna die. Shrek, I'm gonna die. (steps onto solid ground) Oh!",dialog,Donkey
373,"That'll do, Donkey. That'll do. (walks towards the castle)",dialog,Shrek
374,Cool. So where is this fire-breathing pain-in-the-neck anyway?,dialog,Donkey
375,"Inside, waiting for us to rescue her. (chuckles)",dialog,Shrek
376,"I was talkin' about the dragon, Shrek.",dialog,Donkey
377,DRAGON'S KEEP - INTERIOR,setting,
378,"(The pair start making their way through the hallways of the dragon's dark and spooky keep. Shrek is wary, while Donkey is downright terrified. Only an occasional torch lights the way. The passages are littered with bones, armor, and weapons, presumably belonging to the many unsuccessful knights who tried to rescue the princess)",action,
379,You afraid?,dialog,Donkey
380,No. But...SHHHHHH. (shushes Donkey),dialog,Shrek
381,"Oh, good. Me neither. (Get spooked and gasps) 'Cause there's nothing wrong with being afraid. Fear's a sensible response to an unfamiliar situation. Unfamiliar dangerous situation, I might add. With a dragon that breathes fire and eats knights and breathes fire. It sure doesn't mean you're a coward if you're a little scared. I sure as heck ain't no coward. I know that.",dialog,Donkey
382,"(Donkey crashes into a pile of knight remains, knocking over a skeleton whose helmet lands on Donkey's head. The skeleton head falls off and Donkey gasps)",action,
383,"Donkey, 2 things, okay? Shut. Up. Now go over there and see if you can find any stairs (grabs the helmet and puts it on)",dialog,Shrek
384,Stairs? I thought we was looking for the princess.,dialog,Donkey
385,(picking up pieces of armor) The princess will be up the stairs in the highest room in the tallest tower.,dialog,Shrek
386,What makes you think she'll be there?,dialog,Donkey
387,I read it in a book once. (walks off),dialog,Shrek
388,Cool. You handle the dragon. I'll handle the stairs. I'll find those stairs. I'll whip their butt too. Those stairs won't know which way they're going.,dialog,Donkey
389,"(Shrek, now disguised as a knight in shining armor walks off further into the castle. Donkey wanders off in the opposite direction, still talking to himself, and pushes his way through a giant set of doors)",action,
390,I'm gonna take drastic steps. Kick it to the curb. Don't mess with me. I'm the stair master. I've mastered the stairs. I wish I had a step right here. I'd step all over it.,dialog,Donkey
391,"(Behind a broken wall, a giant eye opens to see an unaware Donkey. Elsewhere, Shrek spots a light in the window of a tower)",action,
392,"Well, at least we know where the princess is. But where's the...",dialog,Shrek
393,Dragon!,dialog,Donkey
394,"(Donkey screams and takes off running, narrowly dodging the dragon's fiery breath. The dragon chases after Donkey, stomping on the pile of knight remains in her way. Shrek turns around to see Donkey barreling towards him with the dragon close behind him)",action,
395,"Donkey, look out!",dialog,Shrek
396,"(Shrek manages to grab Donkey out of the way just as the dragon breathes another fireball. Donkey drops to the floor to avoid another fireball, which manages to singe the tuft of his tail. The dragon is just about to eat Donkey when Shrek grabs ahold of her tail)",action,
397,Got ya!,dialog,Shrek
398,"(The dragon begins to swing her tail back and forth with Shrek still holding on, then launches him into the air. Shrek crashes through the roof of the tallest tower and into Fiona's room. Fiona wakes up and looks at him lying on the floor unconscious. The dragon now focuses her attention on Donkey, breathing fire at him and forcing him onto a stone bridge. The dragon knocks down portions of the bridge until Donkey is left staying on a lone pillar)",action,
399,"No. Oh, no, No! (the dragon growls) Oh, what large teeth you have! (the dragon roars) I mean white, sparkling teeth!",dialog,Donkey
400,"(The dragon pauses, looks at him inquisitively, and then smiles. Donkey might just flatter his way out of becoming dragon food)",action,
401,"I know you probably hear this all time from your food, but you must bleach, 'cause that is one dazzling smile you got there. Do I detect a hint of minty freshness?",dialog,Donkey
402,(The dragon appears to be flattered by Donkey's compliments),action,
403,And you know what else? You know what else? You're-- You're--,dialog,Donkey
404,"(The dragon leans forward and gazes at Donkey, revealing its long eyelashes and lipsticked mouth. Suddenly it was all clear to Donkey)",action,
405,"--a girl dragon! Oh, sure! I mean, of course you're a girl dragon. You're just reeking of feminine beauty.",dialog,Donkey
406,(The dragon flutters her eyes at him),action,
407,What's the matter with you? You got something in your eye?,dialog,Donkey
408,(Dragon blows a heart-shaped smoke ring at Donkey),action,
409,"Ohh. Oh. Oh. Man, I'd really love to stay, but you know, I'm, uh...(coughs) I'm an asthmatic, and I don't know if it'd work out if you're gonna blow smoke rings and stuff. Shrek!",dialog,Donkey
410,(Dragon picks him up by the tail in her mouth and happily carries him off),action,
411,No! Shrek! Shrek! Shrek!,dialog,Donkey
412,FIONA'S TOWER - INTERIOR,setting,
413,"(Shrek groans as he regains consciousness. His back is to a Princess Fiona, laying upright on the bed near the window. Though a bit startled, she is ecstatic to see her knight-in-shining armor. She straightens her dress, lays back down, and then quickly reaches over for bouquet of flowers off the side table. She lays back down and pretends to be asleep, clutching the bouquet to her breast. Shrek turns, takes note of the princess and walks across the room over to her. He bends down over to Fiona and she puckers her lips. Shrek takes her by the shoulders and forcefully shakes her)",action,
414,Wha...Wha...,dialog,Fiona
415,Wake up!,dialog,Shrek
416,What?!,dialog,Fiona
417,Are you Princess Fiona?,dialog,Shrek
418,I am... (smiling) awaiting a knight so bold as to rescue me.,dialog,Fiona
419,"Ah, that's nice. Now let's go!",dialog,Shrek
420,(Shrek turns to leave and Fiona quickly sits upright),action,
421,"But wait, Sir Knight! This be-ith our first meeting. Should it not be a wonderful, romantic moment?",dialog,Fiona
422,"(she tosses the bouquet and lays back down, swooning)",action,
423,"Yeah, sorry, lady. There's no time.",dialog,Shrek
424,"(Shrek walks back, yanks Fiona's arm. and hauls her out of bed and towards the door)",action,
425,"Hey, wait. What are you doing? You know, you should sweep me off my feet out yonder window and down a rope onto your valiant steed.",dialog,Fiona
426,(Shrek yanks on the door handle only for it to snap off),action,
427,"You've had a lot of time to plan this, haven't you?",dialog,Shrek
428,Mm-hmm.,dialog,Fiona
429,"(Fiona screams as Shrek suddenly smashes the door down with his shoulder, still holding onto her arm. He rushes down the tower's staircase with Fiona in tow and grabs a torch)",action,
430,But we have to savor this moment! You could recite an epic poem for me.,dialog,Fiona
431,DRAGON'S KEEP - INTERIOR,setting,
432,(Shrek and Fiona cross the bridge connecting the tallest tower to the rest of the castle),action,
433,A ballad? A sonnet! A limerick? Or something!,dialog,Fiona
434,(Fiona pulls her arm from Shrek's grip. They stop for a moment as Shrek figures out which direction to go),action,
435,I don't think so.,dialog,Shrek
436,"Well, can I at least know the name of my champion?",dialog,Fiona
437,"Uh, Shrek.",dialog,Shrek
438,Sir Shrek.,dialog,Fiona
439,"(she smiles, clears her throat, and holds out a handkerchief)",action,
440,I pray that you take this favour as a token of my gratitude.,dialog,Fiona
441,Thanks!,dialog,Shrek
442,"(Shrek regards the handkerchief curiously and wipes his sooty face with it, blackening it. He hands it back to an appalled Fiona, but before she can react, they are startled by the dragon's roar and she drops it to the floor)",action,
443,You didn't slay the dragon?!,dialog,Fiona
444,"It's on my to-do list, now come on!",dialog,Shrek
445,(Shrek grabs Fiona once again and takes off running towards the direction of the dragon's roar),action,
446,"But this isn't right! You were meant to charge in, sword drawn, banner flying. That's what all the other knights did!",dialog,Fiona
447,"Yeah, right before they burst into flames!",dialog,Shrek
448,"(He gestures at the skeleton of a knight laying against the wall, a charred outline of a man burned into the stone behind it)",action,
449,That's not the point! Ugh!,dialog,Fiona
450,(Fiona pulls her arm free from Shrek and stops running. Shrek pauses to look around and heads for a set of wooden doors),action,
451,"Wait, where are you going? The exit's over there!",dialog,Fiona
452,(she points her arm to her left and Shrek turns around),action,
453,"Well, I have to save my ass.",dialog,Shrek
454,What kind of knight are you?,dialog,Fiona
455,One of a kind.,dialog,Shrek
456,THRONE ROOM,setting,
457,"(Shrek quietly pushes open the doors, stepping out onto a balcony of large spacious room. In the center of the room, Dragon has Donkey wrapped up on her tail. Dragon sits on a floor littered with a horde of gold coins and jewels)",action,
458,"Slow down. Slow down, baby, please. Look I believe it's healthy to get to know someone over a long period of time. Just, just call me old-fashioned. I don't want to rush into a... a physical relationship. I'm not...not emotionally ready for a commitment of, uh, this, uh - - ""magnitude"" really is the word I'm looking for. Magnitude.",dialog,Donkey
459,(Dragon gently caresses Donkey with a single claw),action,
460,"Hey, that is unwanted physical contact. Hey, what are you doing?",dialog,Donkey
461,(Dragon looks up at the chandelier hanging above them and gently lights its candles with her fire breath),action,
462,"Okay, okay. Let's just back up a little and take this one step at a time. I mean we really should get to know each other first, you know, as friends or maybe even pen pals. Y'know cause I'm on the road a lot, but I just love receiving cards to read --",dialog,Donkey
463,"(Shrek jumps off the balcony, grabbing a chain connected to the chandelier. The chain does not hang low enough for him to be able to grab Donkey and he swings over Dragon. The chain swings back and he is left dangling above her)",action,
464,"Oh y'know I'd, I'd really love to stay, but -- (Dragon tugs at Donkey's tail with her mouth)",dialog,Donkey
465,Hey. hey don't do that! That's my tail! That's my personal tail. You're gonna tear it off. I don't give permission to-- hey! What are you gonna do with that?,dialog,Donkey
466,(Dragon purses her lips and gets ready to kiss Donkey. Shrek looks up and spots that the chain is jammed above him. He starts shaking it to try and relapse it from the pulley. Suddenly the pulley comes loose and Shrek starts falling),action,
467,"Hey, now. No way. No! No! No, no! No. No, no, no. No! Oh!",dialog,Donkey
468,"(Shrek lands on Donkey and bumps him out of Dragon's grasp just as she is about to kiss him, and she instead kisses Shrek's butt. She opens her eyes and roars. Shrek lets go of the chain and the chandelier falls onto her head, which acts as a collar around her neck. She roars again and Shrek and Donkey take off running. They dodge a blast of fire from Dragon. Shrek grabs Donkey in one arm and then grabs Princess Fiona, who has wandered into the room, with the other arm as he runs past her)",action,
469,"Hi, Princess!",dialog,Donkey
470,It talks!,dialog,Fiona
471,"Yeah, it's getting him to shut up that's the trick.",dialog,Shrek
472,"(They all gasp as Shrek suddenly stops, having reached the end of the balcony Shrek spots a fallen column that has formed a sort of slide. He jumps on it just as Dragon tries to bite them and slides down it. Unfortunately there is a crack in the stone and it hits Shrek right in the crotch. His eyes cross and as he reaches the bottom of the slide, he groans and stumbles off. Dragon chases after them, the chain of the chandelier still unraveling. They are chased by Dragon through a large hall, her chain looping itself around multiple stone pillars as Shrek zigzags around them. Dragon ends up in front of them and breathes fire. Shrek dodges the fire and runs away, leaping over several rows of chains. He comes to a halt)",action,
473,"Okay, you 2, head for the exit! (setting down Donkey and Fiona) I'll take care of the dragon.",dialog,Shrek
474,"(Shrek grabs a sword lodged in the floor and sticks it through a link in the chain and deep into the floor. Shrek catches up with Donkey and Fiona, who are waiting near the exit)",action,
475,Run!,dialog,Shrek
476,"(They sprint as fast as they can out of the castle and onto the rickety bridge as Dragon breathes a huge fireball behind them. As they reach the middle of the bridge the fire burns the bridge and it snaps in half. They hang onto the bridge as they are swung to the other side. Donkey, unable to grab on, falls off but Shrek catches him by the leg. Fiona screams in horror as Dragon flies over the boiling lava to get them. Suddenly the chandelier pulls Dragon back, the sword having lodged itself into a stone column and getting the chain stuck. The group quickly climbs up to safety. Dragon lets out a defeated roar, then gives a sad whimper)",action,
477,VOLCANO - EXTERIOR,setting,
478,"(The first to climb out, Fiona gracefully slides down to the bottom of the volcano hill)",action,
479,You did it! You rescued me! You're amazing.,dialog,Fiona
480,Behind her Donkey tumbles his way down the hill.,setting,
481,You're -- you're wonderful. You're...,dialog,Fiona
482,(she turns to see Shrek slide down the hill and crash into Donkey),action,
483,"A little unorthodox I'll admit. But...thy deed is great, and thine heart is pure. I am eternally in your debt.",dialog,Fiona
484,Ahem...,dialog,Donkey
485,And where would a brave knight be without his noble steed?,dialog,Fiona
486,"(she reaches down, squeezing Donkey's face)",action,
487,I hope you heard that. She called me a noble steed. She thinks I'm a steed.,dialog,Donkey
488,"(Donkey blushes, causing Fiona to chuckle and Shrek to roll his eyes)",action,
489,"The battle is won. You may remove your helmet, good Sir Knight.",dialog,Fiona
490,(Donkey gasps and makes eye contact with Shrek),action,
491,"Uh, no.",dialog,Shrek
492,Why not?,dialog,Fiona
493,I...I have helmet hair.,dialog,Shrek
494,Please. I would'st look upon the face of my rescuer.,dialog,Fiona
495,"Oh, no, you wouldn't -- st.",dialog,Shrek
496,"But, how will you kiss me?",dialog,Fiona
497,What?,dialog,Shrek
498,(Shrek backs away and bumps into a wall),action,
499,(to Donkey) That wasn't in the job description.,dialog,Shrek
500,Maybe it's a perk! (suggestively raises his eyebrows),dialog,Donkey
501,"No, it's destiny. Oh, you must know how it goes: A princess locked in a tower and beset by a dragon is rescued by a brave knight, and then they share true love's first kiss.",dialog,Fiona
502,(They both give Fiona a wide-eyed look),action,
503,"Hmm? With Shrek? You think --who, whoa, wait a sec. You think that Shrek is your true love?",dialog,Donkey
504,Well... yes.,dialog,Fiona
505,(Fiona sheepishly smiles at Shrek. Shrek and Donkey turn to each other and burst out laughing),action,
506,You think Shrek is your true love!,dialog,Donkey
507,(annoyed) What is so funny?,dialog,Fiona
508,"Let's just say I'm not your type, okay?",dialog,Shrek
509,"Of course, you are. You're my rescuer. Now--now remove your helmet.",dialog,Fiona
510,Look. I really don't think this is a good idea.,dialog,Shrek
511,Just take off the helmet.,dialog,Fiona
512,I'm not going to.,dialog,Shrek
513,Take it off.,dialog,Fiona
514,No!,dialog,Shrek
515,NOW!,dialog,Fiona
516,"Okay! Easy! As you command, Your Highness.",dialog,Shrek
517,"(Shrek shakes his head and takes off his helmet and reveals his ogre self. Fiona looks at him blankly, confused but not frightened. Shrek awkwardly grins)",action,
518,You're...an ogre.,dialog,Fiona
519,"Oh, you were expecting Prince Charming?",dialog,Shrek
520,"Well --yes, actually! Oh, no. This is all wrong. You're not supposed to be an ogre! (walks off)",dialog,Fiona
521,"(sighs) Princess, I was sent to rescue you by Lord Farquaad, okay? He's the one who wants to marry you.",dialog,Shrek
522,(the mention of this Lord Farquaad prompts Fiona to turn around in surprise),action,
523,Well then why didn't he come rescue me?,dialog,Fiona
524,Good question. You should ask him that when we get there.,dialog,Shrek
525,(Shrek turns and mocks Fiona while removing what little armor is still left attached to him),action,
526,But I have to be rescued by my true love! Not by some ogre and hi...hi...his pet.,dialog,Fiona
527,"Well, so much for a noble steed.",dialog,Donkey
528,"Look, princess, you're not making my job any easier.",dialog,Shrek
529,"Well, I'm sorry, but your job is not my problem. You can tell Lord ""Farquaad"" that if he wants to rescue me properly, I'll be waiting for him right here.",dialog,Fiona
530,(Fiona sits down determinedly on a nearby rock),action,
531,"Hey! I'm no one's messenger boy, all right? (Advancing toward her) I'm a delivery boy.",dialog,Shrek
532,You wouldn't dare.,dialog,Fiona
533,(Shrek picks Fiona up and puts her over his shoulder),action,
534,(screams) Put me down!,dialog,Fiona
535,"You coming, Donkey?",dialog,Shrek
536,"Oh, yep! I'm right behind ya.",dialog,Donkey
537,(Fiona is now kicking and screaming),action,
538,Put me down or you will suffer the consequences! This is not dignified! Put me down!,dialog,Fiona
539,(Fiona smacks Shrek on the back of the head and screams in frustration),action,
540,WOODS,setting,
541,(Hours have passed and Fiona has calmed down. She hangs limply while Shrek carries her and Donkey walks behind them),action,
542,"Okay, so here's another question. Say there's a woman that digs you, right, but you don't really like her that way. How do you let her down real easy so her feelings aren't hurt, but you don't get burned to a crisp and eaten? How do you do that?",dialog,Donkey
543,You just tell her she's not your true love. Everyone knows what happens when you find your...,dialog,Fiona
544,"(Shrek cuts her off with a deliberate, bouncing readjustment)",action,
545,Hey! The sooner we get to Duloc the better.,dialog,Fiona
546,"Oh you're gonna love it there, Princess. It's beautiful!",dialog,Donkey
547,And what of my groom-to-be? Lord Farquaad? What's he like?,dialog,Fiona
548,"Well, let me put it this way, princess.",dialog,Shrek
549,(Shrek dumps Fiona to the ground unceremoniously and heads to a nearby pond to wash up),action,
550,"Men of Farquaad's stature are in...""short"" supply.",dialog,Shrek
551,(he chuckles and Donkey joins in),action,
552,"I don't know, Shrek. There are those who think...""little"" of him.",dialog,Donkey
553,(They laugh even harder),action,
554,"Stop it. Stop it, both of you. You're just jealous that you can never measure up to a great ruler like Lord Farquaad.",dialog,Fiona
555,"Yeah, well, maybe you're right, princess. But I'll let you do the...""measuring""...when you see him tomorrow.",dialog,Shrek
556,Tomorrow?,dialog,Fiona
557,"(Panic-stricken, Fiona looks back fearfully at the setting sun)",action,
558,It'll take that long? Shouldn't we stop to make camp?,dialog,Fiona
559,"No, that'll take longer. We can keep going.",dialog,Shrek
560,But there's....robbers in the woods.,dialog,Fiona
561,"Whoa! Time out, Shrek! Camp is definitely starting to sound good.",dialog,Donkey
562,"Hey, come on. I'm scarier than anything we're going to see in this forest.",dialog,Shrek
563,"(Fiona jumps in front of Shrek, blocking him)",action,
564,I NEED TO FIND SOMEWHERE TO CAMP NOW!!,dialog,Fiona
565,"(Both Shrek and Donkey's ears lower, taken aback by her outburst)",action,
566,CLIFFSIDE,setting,
567,"(A few minutes later, Shrek is rolling a large boulder away from the mouth of a cave)",action,
568,Hey! Over here!,dialog,Shrek
569,"Shrek, we can do better than that. I don't think this is fit for a princess.",dialog,Donkey
570,(Fiona turns her attention away from the setting sun),action,
571,"No, no, it's perfect. It just needs a few homey touches.",dialog,Fiona
572,Homey touches? Like what?,dialog,Shrek
573,"(He hears a huge ripping sound and looks over at Fiona, who has torn the bark off of a tree with her bare hands)",action,
574,"A door. Well, gentlemen, I bid thee good night.",dialog,Fiona
575,(She enters the cave and puts the bark door up behind her),action,
576,You want me to come in there and read you a bedtime story? 'Cause I will.,dialog,Donkey
577,I said good night!,dialog,Fiona
578,(Shrek looks at Donkey for a second and then reaches to move the boulder back in front of the entrance),action,
579,"Shrek, what are you doing?!",dialog,Donkey
580,"(laughs) I just--you know - - Oh, come on. I was just kidding.",dialog,Shrek
581,CLIFFSIDE - NIGHT,setting,
582,(Later that night Shrek and Donkey are sitting around a campfire. They gaze up into the sky as Shrek points out certain star constellations to Donkey),action,
583,"And, uh, that one, that's Throwback, the only ogre to ever spit over three wheat fields.",dialog,Shrek
584,"Right. Yeah. Hey, can you tell my future from these stars?",dialog,Donkey
585,"The stars don't tell the future, Donkey. They tell stories. Look, there's Bloodnut the Flatulent. You can guess what he's famous for. (chuckles)",dialog,Shrek
586,Alright now I know you're making this up.,dialog,Donkey
587,"No, look.",dialog,Shrek
588,(Shrek traces the constellation with his finger),action,
589,"There he is, and there's the group of hunters running away from his stench.",dialog,Shrek
590,"Man, that ain't nothing but a bunch of little dots.",dialog,Donkey
591,"You know, Donkey, sometimes things are more than they appear. Hmm?",dialog,Shrek
592,"(Shrek glances over to see if Donkey understands him, but is met with a blank look)",action,
593,Forget it.,dialog,Shrek
594,"Hey, Shrek, what we gonna do when we get our swamp anyway?",dialog,Donkey
595,Our swamp?,dialog,Shrek
596,"You know, when we're through rescuing the princess and all that stuff.",dialog,Donkey
597,"We? Donkey, there's no we. There's no our. There's just me and my swamp. And the first thing I'm gonna do is build a ten-foot wall around my land.",dialog,Shrek
598,(He turns his back on Donkey),action,
599,"You cut me deep, Shrek. You cut me real deep just now.",dialog,Donkey
600,(Donkey walks over to face Shrek),action,
601,You know what I think? I think this whole wall thing is just a way to keep somebody out.,dialog,Donkey
602,"No, do ya think?",dialog,Shrek
603,(Shrek turns away again),action,
604,Are you hidin' something?,dialog,Donkey
605,"Never mind, Donkey.",dialog,Shrek
606,(He lies on his back. Donkey leans over him),action,
607,"Oh, this is another one of those onion things, isn't it?",dialog,Donkey
608,"No, this is one of those ""drop it and leave it alone"" things!",dialog,Shrek
609,Why don't you want to talk about it?,dialog,Donkey
610,Why do you want to talk about it? (turns),dialog,Shrek
611,Why are you blocking?,dialog,Donkey
612,I'm not blocking! (turns),dialog,Shrek
613,"Oh, yes, you are.",dialog,Donkey
614,"Donkey, I'm warning you...",dialog,Shrek
615,Who you trying to keep out?,dialog,Donkey
616,(Shrek gets on his feet and faces Donkey),action,
617,Everyone! Okay?!,dialog,Shrek
618,"Oh, now we're getting somewhere.",dialog,Donkey
619,"(Unseen by either of them, Fiona was peeking around the cave door, eavesdropping on the conversation)",action,
620,Oh! For the love of Pete!,dialog,Shrek
621,(Shrek walks over to the edge of the cliff and sits down),action,
622,"Hey what's your problem Shrek? What you got against the whole world anyway, huh?",dialog,Donkey
623,"Look, I'm not the one with the problem, okay? It's the world that seems to have a problem with me. People take one look at me and go ""Aah! Help! Run! A big, stupid, ugly ogre!"" They judge me before they even know me. That's why I'm better off alone.",dialog,Shrek
624,"(Hidden in the shadows of the cave, Fiona's eyes were sympathetic. She closes the door. Donkey stares silently at Shrek for a moment and then sits down beside him)",action,
625,"You know what? When we met, I didn't think you was just a big, stupid, ugly ogre.",dialog,Donkey
626,"Yeah, I know.",dialog,Shrek
627,"So, uh, are there any donkeys up there?",dialog,Donkey
628,"Well, there's, um, Gabby...the Small...and Annoying.",dialog,Shrek
629,"Okay, okay, I see it now. The big shiny one, right there. That one there?",dialog,Donkey
630,That's the moon.,dialog,Shrek
631,"Oh, okay.",dialog,Donkey
632,DULOC - LORD FARQUAAD'S BEDROOM,setting,
633,"(Lord Farquaad's room is is filled with items prepared for his wedding, including crowns and wedding outfits for him and Fiona. Mama Bear is now a taxidermized rug. Soft music plays in the background. Lord Farquaad lays in bed with the Magic Mirror set up at the foot of the bed)",action,
634,"Again, show me again.",dialog,Lord Farquaad
635,We hear the sound of tape rewinding.,setting,
636,"Mirror, mirror, show her to me. Show me the princess.",dialog,Lord Farquaad
637,(uncomfortably) Hmm.,dialog,Magic Mirror
638,"(The Mirror reluctantly rewinds and begins to play again from the beginning, displaying the image of Fiona waiting in her tower)",action,
639,Ah...perfect.,dialog,Lord Farquaad
640,Lord Farquaad looks down  and pulls the sheet up to cover himself as the covers rise.,setting,
641,CLIFFSIDE - MORNING,setting,
642,"(Fiona walks out of the cave and glances at Shrek and Donkey who are still sleeping. She wanders off into the woods, marveling at the nature, and begins to sing. A bluebird flies over to join in her song. She hits higher and higher notes and the bird struggles to keep up with her. Fiona hits a high, horrible note that causes the bird to explode. Fiona looks guilty, but she eyes the eggs that the bird left behind. A little later, Fiona is now frying the eggs over the campfire using a rock skillet. Shrek wakes up, smells the food, and takes note of Fiona. Donkey is talking to himself in his sleep)",action,
643,"Mmm, yeah, you know I like it like that. Come on, baby. I said I like it...",dialog,Donkey
644,"Donkey, wake up. (shakes him)",dialog,Shrek
645,Huh? What?,dialog,Donkey
646,Wake up.,dialog,Shrek
647,What? (stretches and yawns),dialog,Donkey
648,Good morning. Uhmm... how do you like your eggs?,dialog,Fiona
649,"Oh, good morning, Princess!",dialog,Donkey
650,What's all this about?,dialog,Shrek
651,"You know, we kind of got off to a bad start yesterday and I wanted to make it up to you. I mean, after all, you did rescue me.",dialog,Fiona
652,(Fiona gets up and sets the eggs down in front of them),action,
653,"Uh, thanks.",dialog,Shrek
654,(Donkey sniffs the eggs and licks his lips),action,
655,"Well, eat up. We've got a big day ahead of us.",dialog,Fiona
656,"(Fiona walks off, seemingly in a better mood than yesterday. Shrek and Donkey look at each other)",action,
657,SHERWOOD FOREST,setting,
658,(The 3 continue their journey back to Duloc though the woods. Shrek lets out a loud belch),action,
659,Shrek!,dialog,Donkey
660,"What? It's a compliment. Better out than in, I always say. (laughs)",dialog,Shrek
661,"Well, it's no way to behave in front of a princess!",dialog,Donkey
662,"(Fiona belches, stopping Shrek and Donkey in their tracks)",action,
663,Thanks.,dialog,Fiona
664,She's as nasty as you are.,dialog,Donkey
665,"(chuckles) You know, you're not exactly what I expected.",dialog,Shrek
666,"Well, maybe you shouldn't judge people before you get to know them.",dialog,Fiona
667,"(She smiles and then continues walking, singing softly. Suddenly from out of nowhere, a man swings down and swoops Fiona away)",action,
668,La liberte! Hey!,dialog,Monsieur Hood
669,Princess!,dialog,SHREK
670,"(Fiona and the unknown man land on a limb high above in the trees. It is none other than Monsieur Hood, also known as Robin Hood. Fiona breaks away from Monsieur Hood, who has his hand around her waist)",action,
671,Oh! Wait wait--what are you doing?!,dialog,Fiona
